Formula,Material Class,H2 wt %,HtoM,Delta H,Pressure,Temperature,meanatomic_weight,varienceatomic_weight,minatomic_weight,maxatomic_weight,meanX_pauling,varienceX_pauling,minX_pauling,maxX_pauling,meanZ,varienceZ,minZ,maxZ,meanX_mulliken,varienceX_mulliken,minX_mulliken,maxX_mulliken,meandensity,variencedensity,mindensity,maxdensity,meanatomic_radius,varienceatomic_radius,minatomic_radius,maxatomic_radius,meancovalent_radius,variencecovalent_radius,mincovalent_radius,maxcovalent_radius,meancovalent_sphere_volume,meanatomic_volume,varienceatomic_volume,minatomic_volume,maxatomic_volume,meannvalence,variencenvalence,minnvalence,maxnvalence,Packing Fraction,LLD_atomic,LLD_covalent
Pr2Al,A2B,1.4,1.461513191,,,,102.9322862,2884.258036,26.9815385,140.90766,1.29,0.0512,1.13,1.61,43.66666667,470.2222222,13,59,3.2147664,0.00001494513792,3.2092992,3.2175,5.415333333,3.686517556,2.7,6.773,165,800,125,185,159.3333333,555.5555556,126,176,18017282.4,17.2,25.92,10,20.8,4.333333333,0.8888888889,3,5,0.570636244,0.1714198257,0.147930289
Th1.5Ce.5Al,A2B,0.4,0.5958448307,133,0,650,148.3653628,8423.216271,26.9815385,232.0377,1.373333333,0.03205555556,1.12,1.61,59,1186,13,90,3.162158067,0.001547006038,3.0943,3.2092992,7.878333333,16.44568056,2.7,11.7,162.5,706.25,125,185,156.6666667,488.2222222,126,175,17041132.32,16.73333333,22.84888889,10,21,3.666666667,0.2222222222,3,4,0.5447494103,0.1635407048,0.14103671
Th2Al,A2B,0.8,1.320045534,130,0,500,163.6856462,9344.006526,26.9815385,232.0377,1.403333333,0.02135555556,1.3,1.61,64.33333333,1317.555556,13,90,3.171999733,0.0006956251068,3.15335,3.2092992,8.7,18,2.7,11.7,161.6666667,672.2222222,125,180,158.6666667,533.5555556,126,175,17759250.13,16.53333333,21.34222222,10,19.8,3.666666667,0.2222222222,3,4,0.5682373429,0.1603747339,0.1455808079
Th2Al,A2B,0.8,1.320045534,,,,163.6856462,9344.006526,26.9815385,232.0377,1.403333333,0.02135555556,1.3,1.61,64.33333333,1317.555556,13,90,3.171999733,0.0006956251068,3.15335,3.2092992,8.7,18,2.7,11.7,161.6666667,672.2222222,125,180,158.6666667,533.5555556,126,175,17759250.13,16.53333333,21.34222222,10,19.8,3.666666667,0.2222222222,3,4,0.5682373429,0.1603747339,0.1455808079
Ti2Al,A2B,1.2,0.4968240425,,,,40.9051795,96.93388935,26.9815385,47.867,1.563333333,0.001088888889,1.54,1.61,19,18,13,22,3.372139733,0.01325851965,3.2092992,3.45356,3.904,0.724808,2.7,4.506,135,50,125,140,132.6666667,22.22222222,126,136,9817530.1,10.4,0.08,10,10.6,3.666666667,0.2222222222,3,4,0.5640664108,0.05237828009,0.03553300408
Ti2Co,A2B,0.2,0.1033180989,,,,51.55573133,27.2134777,47.867,58.933194,1.653333333,0.02568888889,1.54,1.88,23.66666667,5.555555556,22,27,3.726251077,0.1487208466,3.45356,4.27163323,5.957333333,4.212736889,4.506,8.86,138.3333333,5.555555556,135,140,127.6666667,138.8888889,111,136,8934051.414,9.3,3.38,6.7,10.6,5.666666667,5.555555556,4,9,0.6214695979,0.01703871762,0.09231159023
Ti2Co,A2B,2.1,1.105894135,,,,51.55573133,27.2134777,47.867,58.933194,1.653333333,0.02568888889,1.54,1.88,23.66666667,5.555555556,22,27,3.726251077,0.1487208466,3.45356,4.27163323,5.957333333,4.212736889,4.506,8.86,138.3333333,5.555555556,135,140,127.6666667,138.8888889,111,136,8934051.414,9.3,3.38,6.7,10.6,5.666666667,5.555555556,4,9,0.6214695979,0.01703871762,0.09231159023
Ti2Co,A2B,1.7,0.8916047128,,,,51.55573133,27.2134777,47.867,58.933194,1.653333333,0.02568888889,1.54,1.88,23.66666667,5.555555556,22,27,3.726251077,0.1487208466,3.45356,4.27163323,5.957333333,4.212736889,4.506,8.86,138.3333333,5.555555556,135,140,127.6666667,138.8888889,111,136,8934051.414,9.3,3.38,6.7,10.6,5.666666667,5.555555556,4,9,0.6214695979,0.01703871762,0.09231159023
Ti2Cr,A2B,0.9,0.4472152371,,,,49.24336667,3.788770402,47.867,51.9961,1.58,0.0032,1.54,1.66,22.66666667,0.8888888889,22,24,3.541125,0.01533525845,3.45356,3.716255,5.387333333,1.553496889,4.506,7.15,140,0,140,140,131.3333333,43.55555556,122,136,9559880.408,9.476666667,2.523755556,7.23,10.6,4.666666667,0.8888888889,4,6,0.6296149929,0,0.05025124333
Ti2Cu,A2B,1,0.5362962963,,0.02,500,53.09333333,54.62912022,47.867,63.546,1.66,0.0288,1.54,1.9,24.33333333,10.88888889,22,29,3.795936667,0.2344435638,3.45356,4.48069,5.990666667,4.408470222,4.506,8.96,138.3333333,5.555555556,135,140,128,128,112,136,8986127.851,9.433333333,2.722222222,7.1,10.6,6.333333333,10.88888889,4,11,0.6103855551,0.01703871762,0.08838834765
