,Element Name,Atomic Radius,Atomic Weight,Atomic Number,Covalent Radius,Density,Electron Affinity,Heat of Formation,Lattice Constant,Melting Point,Specific Heat Capacity,Electronegativity Pauling,Electronegativity Mulliken,Covalent Sphere Volume,Thermal Expansion
0,Th,180,232.0377,90,175,11.7,0.607,602,5.08,2023.15,0.118,1.3,3.15335,0.0224492975,11
1,Ce,185,140.116,58,163,6.77,0.65,420.1,5.16,1072.15,0.192,1.12,3.0943,0.01814059061,6.3
2,Al,125,26.9815385,13,126,2.7,0.43283,330.9,4.05,933.473,0.897,1.61,3.2092992,0.008379155395,23.1
3,Ti,140,47.867,22,136,4.506,0.079,473,2.95,1943.15,0.523,1.54,3.45356,0.01053671745,8.6
4,Co,135,58.933194,27,111,8.86,0.66225646,426.7,2.51,1768.15,0.421,1.88,4.27163323,0.005728719337,13
5,Cr,140,51.9961,24,122,7.15,0.666,397.48,2.88,2180.15,0.449,1.66,3.716255,0.007606206316,4.9
6,Cu,135,63.546,29,112,8.96,1.235,337.4,3.61,1357.77,0.385,1.9,4.48069,0.005884948645,16.5
7,Fe,140,55.845,26,116,7.87,0.151,415.5,2.87,1811.15,0.449,1.83,4.0267339,0.006538265875,11.8
8,O,60,15.999,8,63,0.001308,1.4611135,249.229,6.83,54.36,0.918,3.44,7.53958375,0.001047394424,0
9,Mn,140,54.938044,25,119,7.3,0,283.3,8.89,1519.15,0.479,1.55,3.717009,0.007058777513,21.7
10,Ni,135,58.6934,28,110,8.9,1.156,430.1,3.52,1728.15,0.444,1.91,4.3979385,0.005575279763,13.4
11,Pd,140,106.42,46,120,12,0.562,376.6,3.89,1827.95,0.246,2.2,4.44943,0.007238229474,11.8
12,Pt,135,195.084,78,123,21.5,2.128,565.7,3.92,2041.35,0.133,2.2,5.543415,0.007794781462,8.9
13,Y,180,88.90584,39,163,4.47,0.307,424.7,3.65,1795.15,0.298,1.22,3.26213,0.01814059061,10.6
14,Zr,155,91.224,40,154,6.52,0.426,610,3.23,2127.15,0.278,1.33,3.52995,0.01529856767,5.7
15,B,85,10.81,5,85,2.34,0.279723,565,8.73,2350.15,1.026,2.04,4.288871,0.002572440785,6
16,Rh,135,102.9055,45,125,12.4,1.137,556,3.8,2236.15,0.243,2.28,4.29795,0.008181230869,8
17,Hf,155,178.49,72,152,13.3,0.014,618.4,3.2,2506.15,0.144,1.3,3.419535,0.01471022695,5.9
18,Er,175,167.259,68,165,9.07,0.4,316.4,3.56,1802.15,0.168,1.24,3.05385,0.0188165692,12.2
19,Eu,185,151.964,63,168,5.24,0.864,177.4,4.61,1095.15,0.182,,3.2671925,0.01986170168,35
