composition_formula,hydrogen_weight_percent,heat_of_formation,temperature,pressure,HtoM,source,phase,
(TiVNb)65Cr35,2.8,,24,,1.7,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,462
(TiVNb)75Cr25,2.7,,24,,1.7,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
(TiVNb)85Cr15,3.18,,25,,2,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
(TiVNb)85Cr15,3,,24,,1.9,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
(TiVNb)85Cr15,3.18,,20,,2,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
(TiVNb)95.3Co4.7,3.11,,25,,2,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
(TiVNb)95.3Co4.7,3.11,,20,,2,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
(TiVNb)96.2Ni3.8,3.17,,25,,1.9,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
(TiVNb)96.2Ni3.8,3.17,,20,,2,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
(V.59Ti.41).74Mn.26,,52.7,25,0.03,,updated Hydpark,,
(V.63Ti.37).8Mn.1Fe.1,,44.7,25,0.03,,updated Hydpark,,
(V.85Ti.15).92Mn.08,,50.6,25,0.06,,updated Hydpark,,
(V.85Ti.15)0.85Cr0.15,,44,25,0.8,,updated Hydpark,,
(V.89Ti.11).95Fe.05,3.3,42.9,40,4.5,,updated Hydpark,,
(V.8Ti.2).86Mn.14,,48.6,25,0.04,,updated Hydpark,,
(V.8Ti.2).88Mn.08Fe.04,,48.5,25,0.08,,updated Hydpark,,
(V.8Ti.2).9Al.05Fe.05,,46.8,,,,updated Hydpark,,
(V.8Ti.2)0.94Fe0.06,,52,80,2.4,,updated Hydpark,,
(V.9Ti.1).91Al.05Fe.04,2.6,,25,5,,updated Hydpark,,
(V.9Ti.1).95Fe.05,3.7,43.2,80,9.3,,updated Hydpark,,
(V.9Ti.1).95Ge.05,,47.3,,,,updated Hydpark,,
(V.9Ti.1).9Al.05Fe.05,,42.8,,,,updated Hydpark,,
(V.9Ti.1)0.96Fe0.04,3.4,46,80,10,,updated Hydpark,,
(V0.7Ti0.3)0.77Mn0.18Fe0.05,1.6,48,25,0.05,,updated Hydpark,,
(ZrTiVFe)0.80Cu0.20,1.112,,200,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,C14 Laves,
(ZrTiVFe)0.90Cu0.10,1.357,,200,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,C14 Laves,
(ZrTiVFe)0.95Cu0.05,1.504,,200,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,C14 Laves,
(ZrTiVFe)80Al20,1.4,,200,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,C14 Laves,
Ag0.3Pd0.7,0.3,46,50,0.002,,updated Hydpark,,
Al0.10Ti0.30V0.25Zr0.10Nb0.25,2.6,,25,,1.6,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
Al0.10Ti0.30V0.25Zr0.10Nb0.25,,,25,25,1.6,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0078,BCC,
